VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
2,2020-06-18 06:50:37,2020-06-18 06:52:59,5,.94,1,N,263,141,1,4.5,0,0.5,1,0,0.3,8.8,2.5
2,2020-06-16 20:03:31,2020-06-16 20:08:33,1,1.54,1,N,237,236,1,7,0.5,0.5,2.16,0,0.3,12.96,2.5
2,2020-06-17 10:03:07,2020-06-17 10:13:41,3,2.91,1,N,231,164,1,11,0,0.5,2.86,0,0.3,17.16,2.5
2,2020-06-24 19:59:33,2020-06-24 20:15:28,2,3.47,1,N,189,231,1,13.5,0.5,0.5,4.32,0,0.3,21.62,2.5
2,2020-06-08 16:50:15,2020-06-08 17:03:20,1,2.83,1,N,74,141,2,11.5,1,0.5,0,0,0.3,15.8,2.5
1,2020-06-27 01:55:45,2020-06-27 01:55:56,1,.00,1,N,114,114,4,2.5,3,0.5,0,0,0.3,6.3,2.5
2,2020-06-08 17:09:33,2020-06-08 18:02:47,1,6.27,1,N,144,198,1,36,1,0.5,1,0,0.3,41.3,2.5
,2020-06-27 20:57:00,2020-06-27 21:15:00,,4.07,,,113,255,,10.56,0,0.5,2,0,0.3,15.86,2.5
1,2020-06-05 14:38:27,2020-06-05 14:44:07,1,.90,1,N,100,186,2,5.5,2.5,0.5,0,0,0.3,8.8,2.5
2,2020-06-19 15:40:47,2020-06-19 15:44:11,1,1.13,1,N,186,68,2,5.5,0,0.5,0,0,0.3,8.8,2.5
2,2020-06-08 17:59:14,2020-06-08 18:04:16,1,.69,1,N,249,114,1,5,1,0.5,3,0,0.3,12.3,2.5
2,2020-06-08 01:28:34,2020-06-08 01:55:57,1,12.12,1,N,211,56,2,35,0.5,0.5,0,0,0.3,38.8,2.5
2,2020-06-09 14:51:05,2020-06-09 15:00:06,5,1.73,1,N,43,238,1,8.5,0,0.5,3.54,0,0.3,15.34,2.5
,2020-06-19 01:03:00,2020-06-19 01:19:00,,6.93,,,137,25,,28.76,0,0.5,3.94,0,0.3,36,2.5
2,2020-06-10 17:47:20,2020-06-10 17:48:01,1,.00,1,N,161,161,2,2.5,1,0.5,0,0,0.3,6.8,2.5
2,2020-06-15 10:39:17,2020-06-15 10:49:21,1,2.46,1,N,186,211,1,9.5,0,0.5,1.92,0,0.3,14.72,2.5
1,2020-06-25 16:19:46,2020-06-25 16:27:28,1,1.30,1,N,239,236,2,7.5,3.5,0.5,0,0,0.3,11.8,2.5
2,2020-06-18 11:34:58,2020-06-18 11:40:59,1,1.81,1,N,137,140,1,7,0,0.5,2.06,0,0.3,12.36,2.5
1,2020-06-10 08:08:47,2020-06-10 08:13:44,1,1.20,1,N,48,142,2,6,2.5,0.5,0,0,0.3,9.3,2.5
2,2020-06-17 10:39:54,2020-06-17 11:00:32,1,3.43,1,N,231,246,1,15.5,0,0.5,3.76,0,0.3,22.56,2.5
2,2020-06-02 11:52:57,2020-06-02 11:59:20,2,.82,1,N,239,143,2,6,0,0.5,0,0,0.3,9.3,2.5
2,2020-06-29 16:50:38,2020-06-29 16:53:19,2,.76,1,N,143,239,2,4.5,1,0.5,0,0,0.3,8.8,2.5
2,2020-06-26 15:51:40,2020-06-26 16:04:11,1,2.34,1,N,90,231,1,10.5,0,0.5,2.5,0,0.3,16.3,2.5
1,2020-06-24 10:06:31,2020-06-24 10:29:42,1,4.00,1,N,186,238,2,17.5,2.5,0.5,0,0,0.3,20.8,2.5
1,2020-06-04 21:10:07,2020-06-04 21:10:15,1,.00,1,Y,94,94,1,2.5,0.5,0,7,0,0.3,10.3,0
2,2020-06-30 10:40:00,2020-06-30 10:45:26,2,.75,1,N,237,237,1,5.5,0,0.5,2.2,0,0.3,11,2.5
,2020-06-07 00:40:07,2020-06-07 00:55:35,,4.28,,,256,62,,12.83,0,0.5,0,0,0.3,13.63,0
1,2020-06-10 15:05:37,2020-06-10 15:08:24,1,.50,1,Y,141,237,1,4,2.5,0.5,1.45,0,0.3,8.75,2.5
2,2020-06-16 14:53:34,2020-06-16 15:16:35,2,12.02,1,N,249,11,1,34,0,0.5,2.17,6.12,0.3,45.59,2.5
1,2020-06-07 21:30:44,2020-06-07 21:35:08,1,1.10,1,N,100,142,1,5.5,3,0.5,2.3,0,0.3,11.6,2.5
2,2020-06-23 11:16:16,2020-06-23 11:26:09,1,5.48,1,N,138,226,2,16.5,0,0.5,0,0,0.3,17.3,0
1,2020-06-12 09:10:45,2020-06-12 09:28:42,1,5.10,1,N,113,238,1,19,2.5,0.5,3,0,0.3,25.3,2.5
2,2020-06-11 18:37:40,2020-06-11 18:59:09,1,6.17,1,N,137,152,2,20.5,1,0.5,0,0,0.3,24.8,2.5
2,2020-06-25 23:26:00,2020-06-25 23:41:38,1,8.92,1,N,132,39,2,26,0.5,0.5,0,0,0.3,27.3,0
,2020-06-27 03:27:05,2020-06-27 03:57:42,,22.38,,,39,79,,85.2,0,0.5,0,0,0.3,86,0
,2020-06-13 13:06:31,2020-06-13 13:27:40,,4.68,,,14,22,,11.25,0,0.5,2.75,0,0.3,14.8,0
2,2020-06-20 12:58:37,2020-06-20 13:15:55,1,9.57,1,N,75,66,1,27,0,0.5,0,0,0.3,30.3,2.5
,2020-06-20 01:01:00,2020-06-20 01:22:00,,5.31,,,249,106,,18.91,0,0.5,0,0,0.3,22.21,2.5
2,2020-06-26 08:50:16,2020-06-26 09:01:11,1,1.06,1,N,186,170,2,8.5,0,0.5,0,0,0.3,11.8,2.5
1,2020-06-09 14:29:47,2020-06-09 14:38:23,1,1.40,1,N,137,113,1,7.5,2.5,0.5,2.15,0,0.3,12.95,2.5
2,2020-06-18 13:51:37,2020-06-18 13:58:17,1,1.54,1,N,170,141,1,7.5,0.5,0.5,2.26,0,0.3,13.56,2.5
2,2020-06-23 15:16:05,2020-06-23 15:27:58,6,2.80,1,N,48,234,1,11,0,0.5,3.58,0,0.3,17.88,2.5
1,2020-06-21 18:05:25,2020-06-21 18:21:14,1,2.60,1,N,143,48,3,13,2.5,0.5,0,0,0.3,16.3,2.5
2,2020-06-22 06:33:43,2020-06-22 06:35:36,1,.51,1,N,170,164,1,3.5,0,0.5,1.36,0,0.3,8.16,2.5
